"Date","Close","% Change","% Change vs Average","Volume"
"2003-04-30T21:00:00.000Z","963.59","5.09","4.26","30,952,100,000"
"2003-05-31T21:00:00.000Z","974.50","1.13","0.30","31,219,400,000"
"2003-06-30T21:00:00.000Z","990.31","1.62","0.79","31,553,200,000"
"2003-07-31T21:00:00.000Z","1,008.01","1.79","0.96","24,881,470,000"
"2003-08-31T21:00:00.000Z","995.97","-1.19","-2.03","29,940,110,000"
"2003-09-30T21:00:00.000Z","1,050.71","5.50","4.66","32,298,500,000"
"2003-10-31T22:00:00.000Z","1,058.20","0.71","-0.12","24,463,220,000"
"2003-11-30T22:00:00.000Z","1,111.92","5.08","4.24","27,839,130,000"
"2003-12-31T22:00:00.000Z","1,131.13","1.73","0.90","32,820,000,000"
"2004-01-31T22:00:00.000Z","1,144.94","1.22","0.39","27,985,600,000"
"2004-02-29T22:00:00.000Z","1,126.21","-1.64","-2.47","33,597,900,000"
"2004-03-31T21:00:00.000Z","1,107.30","-1.68","-2.51","31,611,900,000"
"2004-04-30T21:00:00.000Z","1,120.68","1.21","0.38","29,326,400,000"
"2004-05-31T21:00:00.000Z","1,140.84","1.80","0.97","27,529,500,000"
"2004-06-30T21:00:00.000Z","1,101.72","-3.43","-4.26","29,285,600,000"
"2004-07-31T21:00:00.000Z","1,104.24","0.23","-0.60","26,586,800,000"
"2004-08-31T21:00:00.000Z","1,114.58","0.94","0.10","26,829,870,000"
"2004-09-30T21:00:00.000Z","1,130.20","1.40","0.57","31,511,000,000"
"2004-10-31T22:00:00.000Z","1,173.82","3.86","3.03","30,460,280,000"
"2004-11-30T22:00:00.000Z","1,211.92","3.25","2.41","31,102,500,000"
"2004-12-31T22:00:00.000Z","1,181.27","-2.53","-3.36","31,498,800,000"
"2005-01-31T22:00:00.000Z","1,203.60","1.89","1.06","29,297,410,000"
"2005-02-28T22:00:00.000Z","1,180.59","-1.91","-2.74","39,014,150,000"
"2005-03-31T21:00:00.000Z","1,156.85","-2.01","-2.84","43,424,270,000"
"2005-04-30T21:00:00.000Z","1,191.50","3.00","2.16","39,321,990,000"
"2005-05-31T21:00:00.000Z","1,191.33","-0.01","-0.85","40,334,040,000"
"2005-06-30T21:00:00.000Z","1,234.18","3.60","2.77","37,464,670,000"
"2005-07-31T21:00:00.000Z","1,220.33","-1.12","-1.95","42,030,090,000"
"2005-08-31T21:00:00.000Z","1,228.81","0.69","-0.14","44,777,510,000"
"2005-09-30T21:00:00.000Z","1,207.01","-1.77","-2.61","49,793,790,000"
"2005-10-31T22:00:00.000Z","1,249.48","3.52","2.69","45,102,870,000"
"2005-11-30T22:00:00.000Z","1,248.29","-0.10","-0.93","41,756,130,000"
"2005-12-31T22:00:00.000Z","1,280.08","2.55","1.72","49,211,650,000"
"2006-01-31T22:00:00.000Z","1,280.66","0.05","-0.79","42,859,940,000"
"2006-02-28T22:00:00.000Z","1,294.87","1.11","0.28","50,905,040,000"
"2006-03-31T21:00:00.000Z","1,310.61","1.22","0.38","43,308,430,000"
"2006-04-30T21:00:00.000Z","1,270.09","-3.09","-3.92","54,312,830,000"
"2006-05-31T21:00:00.000Z","1,270.20","0.01","-0.82","54,873,260,000"
"2006-06-30T21:00:00.000Z","1,276.66","0.51","-0.32","46,348,220,000"
"2006-07-31T21:00:00.000Z","1,303.82","2.13","1.30","50,485,620,000"
"2006-08-31T21:00:00.000Z","1,335.85","2.46","1.63","49,001,440,000"
"2006-09-30T21:00:00.000Z","1,377.94","3.15","2.32","56,793,620,000"
"2006-10-31T22:00:00.000Z","1,400.63","1.65","0.82","55,343,930,000"
"2006-11-30T22:00:00.000Z","1,418.30","1.26","0.43","47,578,780,000"
"2006-12-31T22:00:00.000Z","1,438.24","1.41","0.57","56,686,200,000"
"2007-01-31T22:00:00.000Z","1,406.82","-2.18","-3.02","51,844,990,000"
"2007-02-28T22:00:00.000Z","1,420.86","1.00","0.17","67,622,250,000"
"2007-03-31T21:00:00.000Z","1,482.37","4.33","3.50","57,032,470,000"
"2007-04-30T21:00:00.000Z","1,530.62","3.25","2.42","64,958,050,000"
"2007-05-31T21:00:00.000Z","1,503.35","-1.78","-2.61","65,322,800,000"
"2007-06-30T21:00:00.000Z","1,455.27","-3.20","-4.03","70,337,430,000"
"2007-07-31T21:00:00.000Z","1,473.99","1.29","0.45","91,381,760,000"
"2007-08-31T21:00:00.000Z","1,526.75","3.58","2.75","57,809,700,000"
"2007-09-30T21:00:00.000Z","1,549.38","1.48","0.65","76,022,580,000"
"2007-10-31T22:00:00.000Z","1,481.14","-4.40","-5.24","86,246,950,000"
"2007-11-30T22:00:00.000Z","1,468.36","-0.86","-1.69","64,821,670,000"
"2007-12-31T22:00:00.000Z","1,378.55","-6.12","-6.95","98,475,340,000"
"2008-01-31T22:00:00.000Z","1,330.63","-3.48","-4.31","78,536,130,000"
"2008-02-29T22:00:00.000Z","1,322.70","-0.60","-1.43","93,189,170,000"
"2008-03-31T21:00:00.000Z","1,385.59","4.75","3.92","85,978,630,000"
"2008-04-30T21:00:00.000Z","1,400.38","1.07","0.24","80,990,480,000"
"2008-05-31T21:00:00.000Z","1,280.00","-8.60","-9.43","96,614,040,000"
"2008-06-30T21:00:00.000Z","1,267.38","-0.99","-1.82","124,980,570,000"
"2008-07-31T21:00:00.000Z","1,282.83","1.22","0.39","86,266,010,000"
"2008-08-31T21:00:00.000Z","1,166.36","-9.08","-9.91","140,007,320,000"
"2008-09-30T21:00:00.000Z","968.75","-16.94","-17.77","159,823,030,000"
"2008-10-31T22:00:00.000Z","896.24","-7.48","-8.32","115,660,210,000"
"2008-11-30T22:00:00.000Z","903.25","0.78","-0.05","112,884,470,000"
"2008-12-31T22:00:00.000Z","825.88","-8.57","-9.40","112,090,640,000"
"2009-01-31T22:00:00.000Z","735.09","-10.99","-11.82","124,492,210,000"
"2009-02-28T22:00:00.000Z","797.87","8.54","7.71","161,843,640,000"
"2009-03-31T21:00:00.000Z","872.81","9.39","8.56","138,855,320,000"
"2009-04-30T21:00:00.000Z","919.14","5.31","4.48","131,614,940,000"
"2009-05-31T21:00:00.000Z","919.32","0.02","-0.81","112,653,150,000"
"2009-06-30T21:00:00.000Z","987.48","7.41","6.58","106,635,790,000"
"2009-07-31T21:00:00.000Z","1,020.62","3.36","2.52","116,059,270,000"
"2009-08-31T21:00:00.000Z","1,057.08","3.57","2.74","112,295,490,000"
"2009-09-30T21:00:00.000Z","1,036.19","-1.98","-2.81","113,410,990,000"
"2009-10-31T22:00:00.000Z","1,095.63","5.74","4.90","84,981,530,000"
"2009-11-30T22:00:00.000Z","1,115.10","1.78","0.95","89,515,330,000"
"2009-12-31T22:00:00.000Z","1,073.87","-3.70","-4.53","90,947,580,000"
"2010-01-31T22:00:00.000Z","1,104.49","2.85","2.02","84,561,340,000"
"2010-02-28T22:00:00.000Z","1,169.43","5.88","5.05","103,683,550,000"
"2010-03-31T21:00:00.000Z","1,186.69","1.48","0.64","116,741,910,000"
"2010-04-30T21:00:00.000Z","1,089.41","-8.20","-9.03","127,662,780,000"
"2010-05-31T21:00:00.000Z","1,030.71","-5.39","-6.22","110,106,750,000"
"2010-06-30T21:00:00.000Z","1,101.60","6.88","6.05","94,778,110,000"
"2010-07-31T21:00:00.000Z","1,049.33","-4.74","-5.58","85,738,250,000"
"2010-08-31T21:00:00.000Z","1,141.20","8.76","7.92","79,589,450,000"
"2010-09-30T21:00:00.000Z","1,183.26","3.69","2.85","89,536,270,000"
"2010-10-31T22:00:00.000Z","1,180.55","-0.23","-1.06","87,151,070,000"
"2010-11-30T22:00:00.000Z","1,257.64","6.53","5.70","80,984,530,000"
"2010-12-31T22:00:00.000Z","1,286.12","2.26","1.43","92,164,940,000"
"2011-01-31T22:00:00.000Z","1,327.22","3.20","2.36","59,223,660,000"
"2011-02-28T22:00:00.000Z","1,325.83","-0.10","-0.94","89,507,640,000"
"2011-03-31T21:00:00.000Z","1,363.61","2.85","2.02","77,364,810,000"
"2011-04-30T21:00:00.000Z","1,345.20","-1.35","-2.18","81,708,980,000"
"2011-05-31T21:00:00.000Z","1,320.64","-1.83","-2.66","86,122,730,000"
"2011-06-30T21:00:00.000Z","1,292.28","-2.15","-2.98","81,102,170,000"
"2011-07-31T21:00:00.000Z","1,218.89","-5.68","-6.51","108,419,170,000"
"2011-08-31T21:00:00.000Z","1,131.42","-7.18","-8.01","102,786,820,000"
"2011-09-30T21:00:00.000Z","1,253.30","10.77","9.94","98,063,670,000"
"2011-10-31T22:00:00.000Z","1,246.96","-0.51","-1.34","84,275,050,000"
"2011-11-30T22:00:00.000Z","1,257.60","0.85","0.02","74,742,430,000"
"2011-12-31T22:00:00.000Z","1,312.41","4.36","3.53","79,567,560,000"
"2012-01-31T22:00:00.000Z","1,365.68","4.06","3.23","78,385,710,000"
"2012-02-29T22:00:00.000Z","1,408.47","3.13","2.30","83,899,660,000"
"2012-03-31T21:00:00.000Z","1,397.91","-0.75","-1.58","74,761,710,000"
"2012-04-30T21:00:00.000Z","1,310.33","-6.27","-7.10","86,920,490,000"
"2012-05-31T21:00:00.000Z","1,362.16","3.96","3.12","81,582,440,000"
"2012-06-30T21:00:00.000Z","1,379.32","1.26","0.43","73,103,810,000"
"2012-07-31T21:00:00.000Z","1,406.58","1.98","1.14","70,283,810,000"
"2012-08-31T21:00:00.000Z","1,440.67","2.42","1.59","69,784,280,000"
"2012-09-30T21:00:00.000Z","1,412.16","-1.98","-2.81","71,752,320,000"
"2012-10-31T22:00:00.000Z","1,416.18","0.28","-0.55","71,489,310,000"
"2012-11-30T22:00:00.000Z","1,426.19","0.71","-0.12","66,388,180,000"
"2012-12-31T22:00:00.000Z","1,498.11","5.04","4.21","75,848,510,000"
"2013-01-31T22:00:00.000Z","1,514.68","1.11","0.27","69,273,480,000"
"2013-02-28T22:00:00.000Z","1,569.19","3.60","2.77","68,527,110,000"
"2013-03-31T21:00:00.000Z","1,597.57","1.81","0.98","77,098,000,000"
"2013-04-30T21:00:00.000Z","1,630.74","2.08","1.24","76,447,250,000"
"2013-05-31T21:00:00.000Z","1,606.28","-1.50","-2.33","74,946,790,000"
"2013-06-30T21:00:00.000Z","1,685.73","4.95","4.11","68,106,820,000"
"2013-07-31T21:00:00.000Z","1,632.97","-3.13","-3.96","64,802,810,000"
"2013-08-31T21:00:00.000Z","1,681.55","2.97","2.14","66,174,410,000"
"2013-09-30T21:00:00.000Z","1,756.54","4.46","3.63","76,647,400,000"
"2013-10-31T22:00:00.000Z","1,805.81","2.80","1.97","63,628,190,000"
"2013-11-30T22:00:00.000Z","1,848.36","2.36","1.52","64,958,820,000"
"2013-12-31T22:00:00.000Z","1,782.59","-3.56","-4.39","75,871,910,000"
"2014-01-31T22:00:00.000Z","1,859.45","4.31","3.48","69,725,590,000"
"2014-02-28T22:00:00.000Z","1,872.34","0.69","-0.14","71,885,030,000"
"2014-03-31T21:00:00.000Z","1,883.95","0.62","-0.21","71,595,810,000"
"2014-04-30T21:00:00.000Z","1,923.57","2.10","1.27","63,623,630,000"
"2014-05-31T21:00:00.000Z","1,960.23","1.91","1.07","63,283,380,000"
